('f', 'v', 'd'),29
('v', 'n', 'vn'),29
('n', 'vn', 'v'),28
('s', 'v', 'm'),28
('n', 'nr', 'nr'),28
('t', 'd', 'v'),28
('v', 'nr', 'm'),28
('m', 'n', 'a'),28
('nr', 'm', 'n'),28
('v', 'i', 'v'),28
('i', 'n', 'n'),28
('m', 'n', 'nr'),28
('t', 'nr', 'v'),28
('nrt', 'n', 'v'),27
('n', 'nr', 'a'),27
('n', 'd', 'm'),27
('t', 'v', 'd'),27
('n', 'v', 'q'),27
('a', 'v', 'm'),27
('v', 'v', 'i'),27
('a', 'v', 'a'),27
('m', 'm', 'm'),27
('ns', 'ns', 'v'),27
('n', 'm', 'd'),26
('v', 'a', 'd'),26
('l', 'd', 'v'),26
('v', 'c', 'n'),26
('nr', 't', 'v'),26
('m', 'v', 'nr'),26
('v', 't', 'd'),26
('m', 'nr', 'v'),26
('a', 'a', 'v'),26
('d', 'm', 'v'),26
('n', 'd', 'l'),26
('v', 'm', 't'),26
('nr', 'nr', 'n'),26
('vn', 'v', 'v'),26
('v', 'v', 'nrt'),26
('q', 'n', 'v'),25
('v', 'd', 'l'),25
('v', 'vn', 'n'),25
('a', 'm', 'n'),25
('nr', 'n', 'a'),25
('v', 'ns', 'd'),25
('ns', 'n', 'ns'),25
('i', 'n', 'v'),25
('nrt', 'v', 'v'),25
('n', 'a', 'm'),24
('d', 'n', 'f'),24
('f', 'n', 'd'),24
('a', 'v', 'd'),24
('ns', 'ns', 'n'),24
('v', 'f', 'm'),24
('n', 'd', 't'),24
('v', 'q', 'n'),24
('n', 'n', 'nrt'),24
('i', 'v', 'n'),24
('n', 'n', 'ng'),24
('v', 'm', 'f'),24
('d', 'nr', 'v'),24
('v', 't', 'nr'),24
('t', 'v', 'm'),24
('m', 'v', 'a'),23
('v', 'vn', 'v'),23
('nrt', 'n', 'n'),23
('n', 'nr', 'm'),23
('n', 'i', 'n'),23
('a', 'm', 'v'),22
('q', 'n', 'n'),22
('n', 'f', 'a'),22
('n', 't', 'nr'),22
('d', 'a', 'd'),22
('n', 'n', 'vn'),22
('f', 'v', 'nr'),22
('n', 'r', 'n'),22
('f', 'nr', 'v'),22
('f', 'n', 'f'),22
('v', 'z', 'v'),22
('n', 'm', 'nr'),21
('f', 'm', 'v'),21
('vn', 'n', 'v'),21
('vn', 'n', 'n'),21
('nr', 'a', 'v'),21
('n', 'i', 'v'),21
('n', 'm', 'a'),21
('s', 'd', 'v'),21
('d', 'nr', 'n'),21
