('r', 'd', 'v'),3
('n', 'n', 'ng'),3
('n', 'ng', 'f'),3
('v', 'l', 'v'),3
('v', 'd', 'd'),3
('s', 'v', 'd'),3
('t', 'v', 's'),3
('d', 't', 'v'),3
('f', 'm', 'm'),3
('d', 'v', 'f'),3
('z', 'v', 'n'),3
('nr', 'n', 'f'),3
('nr', 'nr', 'd'),3
('a', 'r', 'v'),3
('t', 'v', 'ns'),3
('nz', 'n', 'v'),3
('n', 'm', 't'),3
('zg', 'n', 'v'),3
('m', 'm', 'a'),3
('m', 'n', 't'),3
('v', 's', 'nr'),3
('a', 'n', 't'),3
('d', 'ns', 'n'),3
('d', 't', 'd'),3
('v', 'v', 'q'),3
('a', 'n', 'f'),3
('v', 'nr', 'nr'),3
('nr', 'nr', 'v'),3
('m', 'nr', 'n'),3
('a', 'd', 'd'),3
('v', 't', 'n'),3
('d', 'n', 'm'),3
('n', 'm', 's'),3
('l', 'n', 'n'),3
('d', 'n', 'nr'),3
('n', 'a', 'nr'),3
('nr', 't', 'n'),3
('ns', 'n', 'nr'),3
('l', 'n', 'a'),3
('v', 'f', 'm'),3
('c', 'n', 'd'),3
('m', 'd', 'n'),3
('v', 'b', 'n'),3
('v', 'nr', 'm'),3
('d', 'c', 'v'),3
('n', 'v', 'f'),3
('n', 'l', 'nr'),3
('v', 's', 'ns'),3
('a', 't', 'v'),3
('v', 't', 'nr'),3
('n', 'c', 'd'),3
('v', 'i', 'v'),3
('m', 'a', 'd'),2
('a', 'd', 'm'),2
('nr', 't', 'd'),2
('n', 'n', 'vn'),2
('n', 'n', 'ad'),2
('m', 't', 'nr'),2
('t', 'nr', 'd'),2
('v', 'a', 'nr'),2
('a', 'nr', 'n'),2
('i', 'd', 'v'),2
('v', 't', 't'),2
('vn', 'n', 'v'),2
('tg', 'v', 'r'),2
('m', 'b', 'n'),2
('d', 'm', 'nr'),2
('v', 'c', 'm'),2
('v', 'v', 'z'),2
('v', 'z', 'v'),2
('v', 'r', 'f'),2
('f', 'v', 'm'),2
('m', 't', 'n'),2
('t', 'v', 'd'),2
('v', 'c', 'd'),2
('l', 'nr', 'n'),2
('a', 'v', 'm'),2
('a', 's', 'v'),2
('c', 'nr', 'v'),2
('v', 'ns', 't'),2
('c', 'v', 'i'),2
('n', 'zg', 'n'),2
('v', 'a', 'r'),2
('t', 'f', 'v'),2
('d', 'm', 'f'),2
('m', 'f', 'v'),2
('f', 'v', 'r'),2
('n', 's', 'd'),2
('s', 'd', 'r'),2
('d', 'r', 'm'),2
('r', 'm', 'a'),2
('n', 'd', 's'),2
('d', 's', 'v'),2
('nr', 'n', 'm'),2
('b', 'n', 'd'),2
('v', 'm', 'c'),2
('d', 'v', 'i'),2
('m', 'nr', 'd'),2
('nr', 'v', 'a'),2
('s', 'a', 'd'),2
('v', 'ns', 'd'),2
('ns', 'd', 'v'),2
