('s', 'v', 'm'),19
('f', 'v', 'nr'),19
('n', 'c', 'v'),19
('nr', 'v', 'm'),19
('v', 'm', 'd'),19
('v', 'c', 'n'),19
('v', 'i', 'n'),19
('n', 'ng', 'n'),19
('s', 'v', 'nr'),19
('v', 'nr', 'a'),19
('n', 'z', 'v'),19
('v', 'n', 'i'),19
('nr', 'n', 'nr'),19
('n', 'm', 'nr'),18
('f', 'v', 'd'),18
('n', 'vn', 'n'),18
('d', 'n', 'a'),18
('v', 'd', 'nr'),18
('v', 'i', 'v'),18
('i', 'v', 'n'),18
('nr', 'v', 'd'),18
('v', 't', 'd'),18
('a', 'm', 'a'),17
('m', 'a', 'v'),17
('v', 'n', 'z'),17
('n', 'nr', 'a'),17
('v', 'v', 'i'),17
('f', 's', 'v'),17
('f', 'v', 'f'),17
('n', 'r', 'a'),17
('q', 'n', 'v'),17
('n', 'ng', 'f'),17
('d', 'n', 'f'),17
('d', 'n', 'm'),17
('v', 'l', 'd'),17
('a', 'm', 'v'),17
('d', 'nr', 'v'),17
('v', 's', 'f'),17
('a', 'v', 'd'),17
('m', 'v', 'a'),17
('nr', 'v', 'nr'),17
('c', 'v', 'v'),17
('m', 'a', 'm'),16
('f', 'n', 'd'),16
('t', 'n', 'd'),16
('n', 'i', 'v'),16
('n', 'm', 'a'),16
('n', 'n', 'i'),16
('d', 'm', 'v'),16
('d', 'd', 'n'),16
('d', 'v', 's'),16
('v', 't', 'm'),16
('d', 'm', 'n'),16
('a', 'n', 't'),16
('nr', 'n', 'f'),16
('v', 'f', 'm'),15
('nr', 'a', 'v'),15
('n', 't', 'd'),15
('v', 'n', 'q'),15
('t', 'n', 'a'),15
('b', 'n', 'n'),15
('v', 'v', 'c'),15
('n', 'n', 'z'),15
('l', 'v', 'm'),15
('t', 'a', 'n'),15
('d', 'a', 'm'),15
('s', 'f', 'v'),15
('nr', 'n', 's'),15
('nr', 's', 'v'),15
('t', 'm', 'v'),15
('v', 's', 'd'),15
('d', 'nr', 'n'),15
('nr', 'nr', 'n'),14
('v', 'nr', 'f'),14
('f', 'nr', 'n'),14
('n', 'n', 'q'),14
('a', 's', 'v'),14
('d', 'v', 'ns'),14
('n', 'l', 'd'),14
('d', 'a', 'd'),14
('nr', 'f', 'v'),14
('v', 'b', 'n'),14
('f', 'd', 'n'),14
('v', 'ns', 'f'),14
('v', 'z', 'v'),14
('ng', 'v', 'n'),14
('v', 'v', 'q'),14
('nr', 'n', 'm'),14
('m', 't', 'n'),14
('d', 'n', 'nr'),14
('n', 'b', 'n'),14
('n', 'v', 'z'),14
('m', 'n', 's'),14
('n', 'nr', 'm'),14
('nr', 'd', 'n'),14
('n', 'f', 'f'),14
('n', 'v', 'nz'),13
('m', 'f', 'n'),13
('vn', 'v', 'v'),13
('v', 'm', 'f'),13
('m', 'd', 'n'),13
('v', 'm', 'r'),13
('f', 'a', 'n'),13
('nr', 'n', 'a'),13
('n', 'f', 'nr'),13
('b', 'v', 'v'),13
('d', 'v', 'r'),13
('m', 'nr', 'v'),13
('n', 't', 'm'),13
('n', 'v', 'vn'),13
('d', 'v', 'f'),12
('n', 'q', 'v'),12
('s', 'v', 'a'),12
('m', 'v', 'f'),12
('d', 'm', 'a'),12
('s', 'm', 'n'),12
('v', 'vn', 'v'),12
('d', 'd', 'a'),12
('n', 'q', 'n'),12
('z', 'v', 'v'),12
('f', 'v', 's'),12
('n', 'n', 'b'),12
('m', 'm', 'a'),12
('v', 'nr', 's'),12
('m', 'n', 'r'),12
('t', 'm', 'n'),12
('r', 'm', 'n'),12
('n', 'b', 'v'),12
('f', 'n', 'nr'),11
('nr', 'f', 'n'),11
('n', 'nz', 'n'),11
