('d', 'n', 'a'),74
('t', 'nr', 'v'),73
('n', 'm', 'm'),73
('a', 'm', 'v'),72
('n', 'a', 'nr'),72
('r', 'n', 'n'),72
('f', 'v', 'a'),72
('n', 'n', 'vn'),71
('nr', 'a', 'v'),71
('m', 'nr', 'n'),70
('n', 'n', 'ns'),70
('n', 'vn', 'v'),70
('q', 'v', 'v'),70
('m', 'v', 'a'),70
('q', 'n', 'n'),70
('z', 'v', 'n'),69
('a', 'm', 'n'),69
('v', 'nr', 'm'),68
('nr', 'a', 'n'),68
('n', 'v', 'c'),68
('f', 'n', 'f'),67
('d', 'm', 'v'),67
('a', 'n', 'm'),67
('vn', 'v', 'v'),66
('m', 'a', 'v'),66
('t', 'v', 'd'),66
('s', 'n', 'n'),66
('n', 'b', 'n'),66
('f', 'm', 'n'),66
('v', 'c', 'n'),66
('b', 'v', 'v'),66
('v', 'z', 'v'),65
('f', 'v', 'nr'),65
('v', 'n', 'b'),65
('n', 'd', 'nr'),65
('n', 'r', 'n'),65
('nr', 's', 'v'),64
('nr', 'm', 'v'),64
('n', 'f', 'nr'),64
('nr', 'v', 't'),64
('n', 'n', 'r'),64
('v', 'nrt', 'v'),63
('n', 'c', 'n'),63
('n', 'a', 'm'),63
('n', 'b', 'v'),62
('d', 'nr', 'n'),61
('t', 'v', 'nr'),61
('z', 'v', 'v'),61
('v', 'f', 'm'),60
('c', 'n', 'n'),60
('n', 'v', 'i'),60
('n', 'n', 'b'),59
('v', 'nr', 't'),59
('d', 'm', 'n'),59
('m', 'v', 'd'),59
('s', 'd', 'v'),58
('d', 'n', 'nr'),58
('f', 'a', 'n'),58
('d', 'v', 's'),58
('d', 'd', 'n'),58
('v', 'nr', 's'),58
('v', 'n', 'i'),58
('n', 'i', 'v'),57
('b', 'n', 'v'),57
('z', 'n', 'v'),57
('n', 'nr', 'a'),57
('vn', 'n', 'n'),57
('nr', 't', 'v'),56
('n', 'vn', 'n'),55
('t', 'v', 'm'),55
('v', 'z', 'n'),54
('b', 'v', 'n'),54
('d', 'v', 'q'),54
('v', 'b', 'v'),54
('d', 'n', 'f'),54
('a', 'd', 'n'),53
('d', 'v', 'f'),53
('f', 'n', 'd'),53
('n', 'm', 'd'),53
('n', 'm', 'a'),53
('n', 'nr', 'm'),53
('i', 'n', 'v'),53
('b', 'n', 'n'),52
('m', 'd', 'n'),52
('nr', 'n', 'm'),52
('vn', 'd', 'v'),51
('nr', 'v', 'f'),51
('v', 'nr', 'f'),51
('m', 't', 'v'),51
('m', 'n', 't'),50
('v', 'n', 'q'),50
('v', 'd', 'm'),50
('t', 'v', 'a'),50
('f', 'nr', 'v'),50
('a', 'v', 't'),50
('v', 'm', 't'),50
('v', 'i', 'n'),49
('v', 't', 't'),49
('s', 'v', 'nr'),49
('v', 'f', 'd'),49
('d', 'n', 'm'),49
('n', 'm', 'nr'),49
('z', 'n', 'n'),49
('v', 'v', 'i'),48
('a', 'n', 't'),48
('q', 'v', 'n'),48
('n', 'n', 'c'),47
('f', 'm', 'v'),47
('v', 't', 'm'),47
('l', 'nr', 'v'),47
('n', 't', 'nr'),46
('f', 'v', 'd'),46
('v', 'v', 'z'),46
('nrt', 'v', 'v'),46
('t', 'm', 'n'),46
('n', 'i', 'n'),46
('d', 't', 'v'),46
('nr', 'f', 'v'),45
('t', 'n', 'd'),45
('nr', 'v', 's'),44
('v', 'b', 'n'),44
('v', 'v', 'nrt'),44
('t', 'a', 'v'),44
('m', 'v', 't'),44
('n', 'q', 'n'),44
('n', 't', 'd'),44
('n', 'n', 'z'),43
('r', 'v', 'nr'),43
('t', 'nr', 'n'),43
('d', 'a', 'a'),43
('n', 'v', 'b'),42
('v', 'a', 't'),42
('d', 'v', 'r'),42
('v', 'nz', 'v'),42
('a', 't', 'v'),42
('s', 'a', 'n'),41
('n', 'v', 'z'),41
('m', 'm', 'm'),41
('f', 'n', 'a'),41
('t', 'n', 'f'),41
('n', 'd', 'l'),40
('l', 'v', 'nr'),40
('v', 'n', 'z'),40
('nr', 'd', 'a'),40
('v', 'l', 'nr'),40
('d', 'a', 'd'),40
('l', 'd', 'v'),40
('v', 't', 'a'),40
('m', 'v', 'f'),39
('v', 's', 'd'),39
('d', 'l', 'v'),39
('n', 'q', 'v'),39
('s', 'v', 'a'),38
('v', 'm', 'ns'),38
('v', 'v', 'b'),38
('n', 'nrt', 'v'),38
('n', 'n', 'q'),38
('v', 'vn', 'd'),37
('n', 'z', 'n'),37
('n', 'd', 't'),37
('a', 'v', 's'),37
('v', 's', 'a'),37
('n', 'nr', 't'),37
('d', 'v', 'l'),37
('d', 'n', 't'),37
('n', 'n', 'i'),37
('l', 'v', 'a'),36
('i', 'n', 'n'),36
('nr', 't', 'n'),35
('nr', 'n', 't'),35
('a', 'a', 'a'),35
('v', 'd', 't'),35
('s', 'nr', 'v'),34
('n', 'l', 'nr'),34
('r', 'd', 'v'),34
('d', 'r', 'v'),34
('nr', 'f', 'n'),34
('nr', 'v', 'r'),34
('nr', 'n', 's'),34
('l', 'v', 'm'),34
('f', 'v', 't'),34
('t', 'm', 'v'),34
('v', 'nrt', 'n'),34
('d', 'v', 'vn'),34
('t', 'd', 'n'),34
('v', 'l', 'd'),34
('nr', 'nr', 'nr'),34
('f', 'n', 'nr'),33
('a', 'l', 'v'),33
('s', 'v', 'd'),33
('v', 'q', 'd'),33
('d', 'a', 'nr'),33
('v', 'n', 'nrt'),33
('n', 'v', 'nrt'),33
('t', 'a', 'n'),33
('n', 'a', 't'),33
('t', 't', 'v'),33
('s', 'n', 'f'),33
('r', 'nr', 'v'),33
('n', 's', 'd'),32
('n', 's', 'a'),32
('v', 'nz', 'n'),32
('n', 'f', 'r'),32
('nrt', 'v', 'n'),32
('v', 'ad', 'v'),32
('nz', 'v', 'n'),32
('m', 'f', 'v'),32
('v', 's', 'm'),32
('n', 't', 'a'),32
('t', 'n', 'a'),32
('n', 'ad', 'v'),32
('v', 's', 'nr'),32
('d', 'v', 'ns'),31
('a', 'n', 's'),31
('m', 'z', 'n'),31
('ns', 'v', 'nr'),31
('f', 'd', 'n'),31
('a', 'nr', 'd'),31
('v', 'q', 'a'),31
('v', 'a', 'q'),31
('ns', 'v', 'm'),31
('ng', 'v', 'n'),31
('m', 'n', 's'),31
('n', 's', 'nr'),30
('nr', 'v', 'q'),30
('ns', 'd', 'v'),30
('a', 't', 'n'),30
('v', 'nr', 'l'),30
('a', 'a', 'd'),30
('v', 'd', 'l'),30
('t', 'n', 'nr'),30
('v', 'm', 'l'),30
('n', 't', 't'),30
('v', 'v', 'nz'),30
('v', 'r', 'nr'),30
('f', 'a', 'v'),29
('a', 'n', 'l'),29
('n', 'v', 'nz'),29
('q', 'd', 'v'),29
('nr', 'l', 'v'),29
('v', 'r', 'd'),29
('s', 'a', 'v'),29
('v', 'v', 'ng'),29
('f', 'v', 'q'),29
('t', 'v', 't'),29
('d', 's', 'v'),29
('s', 'm', 'n'),29
('n', 'nr', 'f'),29
('v', 'm', 'f'),29
('s', 'n', 'd'),29
('n', 'd', 'r'),28
('r', 'v', 'm'),28
('v', 'ns', 'd'),28
('a', 'v', 'ns'),28
('m', 'ns', 'n'),28
('v', 'ng', 'v'),28
('m', 'nr', 'd'),28
('nz', 'n', 'v'),28
('a', 'r', 'v'),28
('v', 'q', 'nr'),28
('f', 'nr', 'n'),28
('v', 'nr', 'ns'),28
('d', 'c', 'v'),27
('s', 'nr', 'n'),27
('a', 'b', 'v'),27
('ad', 'v', 'v'),27
('v', 'm', 'r'),27
('i', 'd', 'v'),27
('v', 'n', 'ng'),27
('l', 'v', 'd'),27
('m', 'n', 'l'),27
('t', 'n', 'm'),27
('d', 'v', 'c'),27
('ad', 'v', 'n'),27
('vn', 'v', 'd'),27
('v', 'df', 'v'),27
('m', 't', 'n'),27
('f', 'n', 'm'),26
('m', 'a', 'nr'),26
('nz', 'n', 'n'),26
('m', 'v', 's'),26
('a', 's', 'v'),26
('nr', 'nr', 'd'),26
('nr', 'v', 'l'),26
('v', 's', 'f'),26
('r', 'n', 'f'),26
('ng', 'v', 'v'),26
('v', 'l', 'a'),26
('l', 'a', 'v'),26
('a', 'v', 'r'),26
('f', 'v', 'f'),26
('r', 'v', 'a'),26
('a', 'q', 'v'),26
('a', 'v', 'f'),26
('r', 'v', 'd'),26
('n', 's', 'm'),26
('s', 'm', 'v'),26
('m', 's', 'v'),25
('l', 'n', 'f'),25
('v', 'f', 'a'),25
('a', 'a', 'nr'),25
('d', 'd', 'd'),25
