('n', 't', 'n'),9
('ns', 'd', 'v'),9
('n', 'f', 'm'),9
('l', 'n', 'v'),9
('r', 'v', 'v'),9
('vn', 'd', 'v'),9
('n', 'f', 'nr'),9
('a', 't', 'v'),9
('v', 'z', 'v'),9
('b', 'n', 'v'),9
('m', 'v', 'm'),9
('v', 's', 'n'),9
('vn', 'n', 'n'),9
('n', 'z', 'v'),9
('n', 'ns', 'n'),8
('v', 'l', 'n'),8
('c', 'n', 'n'),8
('v', 'nr', 't'),8
('n', 'nr', 'nr'),8
('a', 'n', 'm'),8
('c', 'n', 'v'),8
('v', 'n', 'l'),8
('n', 'a', 'nr'),8
('a', 'nr', 'n'),8
('v', 't', 'd'),8
('b', 'v', 'v'),8
('d', 'n', 'm'),8
('d', 'm', 'n'),8
('n', 'n', 't'),8
('n', 'v', 'ad'),8
('m', 'd', 'n'),8
('n', 'b', 'n'),8
('d', 'v', 'q'),8
('v', 'q', 'v'),8
('r', 'd', 'v'),8
('v', 'ns', 'd'),8
('d', 'd', 'a'),8
('t', 'v', 'm'),8
('n', 'n', 'l'),8
('m', 'd', 'a'),8
('v', 'l', 'd'),8
('v', 'z', 'n'),8
('a', 'm', 'v'),7
('v', 'v', 'ad'),7
('n', 'd', 'd'),7
('n', 'v', 'q'),7
('m', 'n', 'nr'),7
('d', 'n', 't'),7
('f', 'v', 'd'),7
('n', 'n', 'z'),7
('m', 'n', 'f'),7
('d', 'v', 'ns'),7
('n', 'n', 'ns'),7
('v', 'v', 'b'),7
('ns', 'n', 'v'),7
('n', 't', 'a'),7
('nr', 'nr', 'n'),7
('v', 'v', 'i'),7
('v', 'nr', 'm'),7
('s', 'v', 'a'),7
('d', 'r', 'v'),7
('v', 'v', 'q'),7
('nr', 's', 'v'),7
('s', 'v', 'm'),7
('nr', 'n', 'm'),7
('t', 'n', 'd'),7
('nr', 'i', 'v'),7
('b', 'n', 'n'),7
('m', 'v', 'a'),7
('a', 'vn', 'v'),7
('v', 'm', 'ns'),7
('t', 'v', 'd'),7
('v', 'a', 'vn'),7
('nr', 'd', 'a'),6
('nr', 'd', 'n'),6
('nr', 'n', 'f'),6
('nr', 'a', 'n'),6
('v', 'c', 'n'),6
('nr', 'v', 't'),6
('s', 'a', 'n'),6
('q', 'n', 'v'),6
('n', 'z', 'n'),6
('n', 'm', 'a'),6
('n', 'nr', 't'),6
('nr', 't', 'n'),6
('t', 'a', 'v'),6
('f', 'v', 'nr'),6
('m', 'nr', 'n'),6
('n', 'ns', 'd'),6
('l', 'd', 'v'),6
('c', 'v', 'nr'),6
('a', 'ns', 'v'),6
('ng', 'n', 'v'),6
('d', 'v', 'f'),6
('v', 'f', 'd'),6
('f', 'a', 'n'),6
('a', 'nr', 'd'),6
('vn', 'v', 'd'),6
('ns', 'v', 'nr'),6
('f', 'a', 'v'),6
('v', 'nr', 'i'),6
('vn', 'n', 'f'),6
('d', 'nr', 'v'),6
('c', 'v', 'd'),6
('a', 'm', 'd'),6
('z', 'v', 'n'),6
('v', 'a', 'c'),6
('d', 'v', 's'),6
('d', 'v', 'r'),6
('d', 'm', 'a'),6
('v', 't', 't'),6
('d', 'v', 'l'),6
('v', 'm', 'vn'),6
('r', 'v', 'nr'),6
('v', 'vn', 'd'),6
('v', 'd', 'nr'),6
('m', 'v', 't'),6
('a', 'd', 'd'),6
('a', 'v', 'ns'),6
('a', 'n', 'vn'),6
('n', 's', 'n'),6
('m', 'n', 'a'),6
('v', 'f', 'm'),6
('v', 'b', 'n'),6
('a', 'n', 'ns'),5
('n', 'm', 't'),5
('v', 'd', 'vn'),5
('nz', 'v', 'n'),5
('n', 'd', 'nr'),5
('n', 'n', 'c'),5
('l', 'n', 'n'),5
('n', 'm', 'f'),5
('n', 'v', 'i'),5
('v', 'nz', 'n'),5
('f', 'n', 'f'),5
('vn', 'd', 'n'),5
('q', 'v', 'v'),5
('ns', 'v', 'd'),5
('q', 'd', 'v'),5
('v', 'q', 'd'),5
('v', 'a', 'f'),5
('a', 'f', 'v'),5
('l', 'v', 'd'),5
('n', 'd', 't'),5
('d', 'd', 'd'),5
('nr', 'v', 'ns'),5
('s', 'v', 'nr'),5
('m', 'm', 't'),5
('t', 'nr', 'd'),5
('nr', 'd', 'd'),5
('f', 'm', 'n'),5
('d', 'a', 'nr'),5
('v', 'n', 'nz'),5
('a', 'n', 's'),5
('v', 'a', 't'),5
('m', 'nr', 'd'),5
('n', 'q', 'v'),5
('c', 'v', 't'),5
('n', 'nz', 'v'),5
('a', 'b', 'v'),5
('r', 'v', 'd'),5
('f', 'nr', 'v'),5
('d', 'a', 't'),5
('m', 't', 'm'),5
('m', 'ns', 'n'),5
('r', 'v', 'a'),5
('n', 'v', 'ng'),5
('v', 'q', 'n'),5
('ns', 'd', 'd'),5
('s', 'd', 'v'),5
('c', 'v', 'm'),5
('t', 'n', 'a'),5
('a', 'n', 'c'),5
('v', 'n', 'ng'),5
('v', 'a', 's'),5
('a', 's', 'v'),5
('v', 'r', 'd'),5
('n', 'r', 'a'),5
('vn', 'v', 'a'),5
('v', 'l', 'a'),5
('a', 'c', 'v'),5
('a', 'a', 'd'),5
('v', 'nr', 'l'),5
('v', 't', 'm'),5
('a', 'm', 'a'),5
('ng', 'v', 'v'),5
('a', 'ns', 'n'),5
('v', 'ng', 'v'),5
('a', 'v', 'z'),5
('ns', 'v', 'a'),5
('v', 't', 'vn'),5
('an', 'v', 'v'),5
('v', 'v', 'an'),5
('m', 'a', 'a'),5
('q', 'v', 'n'),5
('nr', 't', 'd'),5
('t', 'v', 'nr'),5
('d', 'a', 'm'),4
('v', 'v', 'nz'),4
('v', 'ad', 'n'),4
('s', 'd', 'n'),4
('n', 'nr', 'z'),4
('n', 'l', 'n'),4
('v', 'i', 'd'),4
('i', 'd', 'n'),4
('n', 'v', 'nz'),4
('n', 'v', 'nrt'),4
('z', 'n', 'n'),4
('n', 'r', 'n'),4
('nr', 'a', 'nr'),4
('n', 'n', 'b'),4
('v', 'i', 'n'),4
('n', 'n', 'ng'),4
('n', 'ng', 'n'),4
('v', 'n', 'q'),4
('d', 'n', 'f'),4
('nr', 'm', 'n'),4
('i', 'v', 'd'),4
('n', 't', 'd'),4
('t', 'd', 'n'),4
('i', 'v', 'nr'),4
('v', 'nr', 'f'),4
('n', 'd', 'l'),4
('nr', 'nr', 'a'),4
('nr', 'a', 'd'),4
('n', 'd', 'c'),4
('ad', 'v', 'v'),4
('v', 't', 'a'),4
('v', 'ng', 'n'),4
('vn', 'm', 'd'),4
