('ns', 'v', 'v'),12
('v', 'q', 'n'),12
('v', 'v', 'i'),12
('d', 'l', 'v'),12
('d', 'a', 'nr'),12
('a', 'nr', 'n'),12
('a', 'v', 's'),12
('nr', 'a', 'n'),12
('n', 'd', 'nr'),12
('q', 'v', 'v'),12
('n', 'nr', 'a'),12
('nrt', 'v', 'n'),12
('ad', 'v', 'v'),12
('n', 'nrt', 'v'),12
('n', 'c', 'n'),12
('d', 'a', 'd'),12
('b', 'v', 'v'),12
('m', 'nr', 'n'),11
('s', 'd', 'v'),11
('nr', 'v', 's'),11
('v', 'n', 'l'),11
('n', 'ns', 'v'),11
('nr', 's', 'v'),11
('n', 'f', 'm'),11
('t', 'n', 'd'),11
('n', 'vn', 'v'),11
('nr', 'm', 'n'),11
('n', 't', 'nr'),11
('z', 'n', 'v'),11
('d', 'd', 'n'),11
('v', 'ad', 'v'),11
('z', 'v', 'n'),11
('v', 'l', 'n'),11
('m', 'v', 'a'),11
('d', 'v', 't'),11
('n', 'c', 'd'),11
('l', 'd', 'v'),11
('d', 'a', 'a'),11
('z', 'v', 'v'),11
('v', 'm', 'm'),11
('n', 'ad', 'v'),11
('v', 'vn', 'd'),10
('n', 'l', 'n'),10
('a', 'b', 'v'),10
('vn', 'v', 'v'),10
('n', 'n', 'z'),10
('a', 'l', 'v'),10
('v', 's', 'd'),10
('n', 'a', 'ns'),10
('n', 'n', 'vn'),10
('v', 'b', 'v'),10
('v', 'nr', 'f'),10
('v', 'n', 'z'),10
('a', 'n', 'f'),10
('f', 'd', 'n'),10
('nr', 'v', 't'),10
('n', 'r', 'n'),10
('f', 'v', 'd'),10
('t', 'a', 'v'),10
('m', 'n', 'f'),10
('n', 'c', 'v'),10
('n', 'v', 'ns'),10
('m', 'm', 'v'),10
('n', 'v', 'i'),10
('v', 'n', 'nrt'),10
('v', 'n', 'ad'),10
('d', 'n', 'nr'),9
('d', 'v', 'f'),9
('n', 'z', 'n'),9
('s', 'v', 'a'),9
('m', 'a', 'nr'),9
('v', 'i', 'n'),9
('v', 'f', 'm'),9
('n', 'v', 'b'),9
('v', 'b', 'n'),9
('v', 'a', 't'),9
('nr', 'l', 'v'),9
('f', 'n', 'f'),9
('nr', 'nr', 'n'),9
('v', 's', 'a'),9
('a', 'n', 'm'),9
('d', 'm', 'n'),9
('v', 'v', 'z'),9
('n', 'n', 'l'),9
('d', 'n', 'm'),9
('v', 'd', 'l'),9
('m', 'n', 'nr'),9
('c', 'd', 'v'),9
('n', 'd', 'm'),9
('f', 'n', 'a'),9
('d', 't', 'v'),9
('v', 'z', 'n'),8
('m', 'z', 'n'),8
('a', 'n', 'vn'),8
('nr', 'f', 'v'),8
