('n', 'm', 'm'),11
('n', 'v', 'vn'),11
('n', 'nr', 's'),11
('nr', 'v', 's'),11
('n', 'v', 'c'),11
('v', 'nr', 'a'),11
('nr', 'nr', 'n'),11
('v', 'n', 'l'),11
('vn', 'n', 'v'),11
('f', 'a', 'n'),11
('nr', 'v', 'a'),11
('s', 'd', 'v'),11
('v', 'l', 'v'),11
('c', 'v', 'v'),10
('v', 'n', 'ng'),10
('d', 'v', 't'),10
('v', 't', 'nr'),10
('v', 'vn', 'n'),10
('n', 'f', 'ns'),10
('v', 't', 't'),10
('s', 'v', 'nr'),10
('m', 'n', 'nr'),10
('l', 'v', 'v'),10
('q', 'v', 'v'),10
('v', 'v', 'l'),10
('d', 'n', 'd'),10
('v', 'nr', 's'),10
('v', 'a', 'd'),10
('n', 'a', 'a'),10
('c', 'n', 'n'),10
('v', 'a', 'a'),10
('nr', 'm', 'v'),10
('s', 'v', 'a'),10
('a', 'a', 'n'),10
('n', 'n', 'ad'),9
('n', 'nr', 'm'),9
('v', 's', 'nr'),9
('d', 'n', 'a'),9
('a', 'v', 'm'),9
('n', 'v', 'z'),9
('v', 'n', 'zg'),9
('n', 'v', 'ng'),9
('n', 'd', 'm'),9
('c', 'n', 'v'),9
('v', 'a', 'ns'),9
('t', 'v', 'nr'),9
('nr', 'n', 's'),9
('v', 'nz', 'n'),9
('n', 'd', 'nr'),9
('a', 'd', 'n'),9
('m', 'f', 'n'),9
('v', 's', 'd'),9
('v', 'm', 't'),9
('v', 'd', 'm'),8
('f', 'v', 'a'),8
('d', 'v', 'r'),8
('v', 'm', 'd'),8
('t', 'n', 'a'),8
('nr', 'd', 'n'),8
('f', 'v', 'nr'),8
('v', 's', 'm'),8
('m', 'nr', 'v'),8
('v', 'nr', 't'),8
('n', 'nr', 'a'),8
('m', 'v', 'nr'),8
('d', 'nr', 'v'),8
('v', 'n', 'b'),8
('a', 'ns', 'n'),8
('i', 'n', 'n'),8
('a', 'n', 's'),8
('n', 's', 'nr'),8
('n', 'v', 'nz'),8
('v', 'i', 'n'),8
('a', 'a', 'v'),8
('v', 'f', 'm'),8
('ad', 'v', 'v'),8
('n', 'f', 'm'),8
('n', 'n', 'b'),8
('f', 'ns', 'n'),8
('n', 'i', 'n'),7
('s', 'nr', 'v'),7
('ad', 'n', 'v'),7
('n', 't', 'nr'),7
('m', 'd', 'n'),7
('a', 's', 'n'),7
('v', 'z', 'n'),7
('nr', 'v', 'ns'),7
('ns', 'n', 'd'),7
('z', 'n', 'n'),7
('v', 'vn', 'v'),7
('vn', 'v', 'v'),7
('n', 'a', 'q'),7
('v', 'c', 'n'),7
('t', 't', 'n'),7
('a', 'v', 'd'),7
('v', 'a', 'm'),7
('nr', 'v', 't'),7
('t', 'nr', 'n'),7
('v', 'mq', 'n'),7
('mq', 'n', 'v'),7
('v', 's', 'a'),7
('a', 'v', 't'),7
('i', 'v', 'n'),7
('a', 'nr', 'd'),7
('nr', 't', 'v'),7
('d', 'v', 'ns'),7
('v', 'vg', 'n'),7
('t', 'nr', 'v'),7
('vn', 'a', 'n'),7
('b', 'n', 'd'),7
('t', 'd', 'v'),7
('m', 'n', 't'),7
('ng', 'n', 'n'),7
('t', 'a', 'n'),7
('n', 'i', 'nr'),7
('v', 'nr', 'f'),7
('n', 't', 'a'),7
('m', 'v', 'm'),7
('nr', 'v', 'r'),7
('ns', 'ng', 'v'),7
('n', 's', 'm'),6
('a', 'q', 'n'),6
('ns', 'nr', 'v'),6
('n', 'd', 'ns'),6
('v', 't', 'm'),6
('d', 'm', 'v'),6
('s', 'nr', 'n'),6
('nr', 'f', 'v'),6
('n', 'a', 's'),6
('v', 'z', 'v'),6
('a', 'ns', 'v'),6
('r', 'v', 'm'),6
('i', 'n', 'v'),6
('m', 'a', 'v'),6
('t', 'n', 'd'),6
('n', 'nr', 't'),6
('d', 'nr', 'n'),6
('vn', 'v', 'n'),6
('f', 'n', 'a'),6
('nr', 't', 'n'),6
('a', 'm', 'v'),6
('v', 'v', 'ng'),6
('v', 'i', 'v'),6
('v', 'd', 's'),6
('m', 'd', 'v'),6
('nr', 'a', 'v'),6
('z', 'v', 'v'),6
('n', 'q', 'f'),6
('v', 'v', 'zg'),6
('v', 'r', 'a'),6
('v', 'n', 'ad'),6
('vg', 'n', 'n'),6
('n', 'ad', 'n'),6
('n', 'm', 'nr'),6
('v', 'f', 'a'),6
('ns', 'v', 'ns'),6
('n', 'n', 'ng'),6
('n', 'ng', 'n'),6
('t', 'a', 'v'),6
('vg', 'n', 'v'),6
('n', 'ng', 'v'),6
('i', 'nr', 'n'),6
('ng', 'n', 'v'),6
('f', 'm', 'v'),6
('nr', 'n', 'q'),6
('r', 'v', 'nr'),6
('v', 'q', 'a'),6
('ng', 'v', 'v'),6
('a', 'v', 'ns'),6
('v', 't', 'a'),6
('n', 'v', 'b'),6
('n', 'ns', 'ng'),6
('n', 'vn', 'v'),5
('q', 'n', 'd'),5
('v', 'nr', 'r'),5
('ng', 'n', 'd'),5
('vg', 'v', 'n'),5
('m', 'a', 'm'),5
('s', 'm', 'v'),5
('a', 'n', 'l'),5
('d', 't', 'v'),5
('nr', 'nr', 'm'),5
('v', 'v', 'z'),5
('v', 'r', 'nr'),5
('v', 'n', 'i'),5
('a', 'v', 'r'),5
('ns', 'd', 'v'),5
('d', 's', 'v'),5
('v', 'v', 'c'),5
('m', 'm', 'nr'),5
('n', 'a', 't'),5
('t', 'n', 'nr'),5
('n', 'nr', 'f'),5
('v', 'ns', 't'),5
('a', 's', 'v'),5
('n', 'l', 'nr'),5
('v', 'v', 'b'),5
('f', 'n', 'ns'),5
('n', 'a', 'ns'),5
('ns', 'n', 'ns'),5
('n', 'n', 'vn'),5
('nz', 'n', 'v'),5
('m', 't', 'n'),5
('a', 't', 'v'),5
('t', 'v', 't'),5
('t', 'f', 'v'),5
('t', 'n', 's'),5
('v', 'ad', 'n'),5
('t', 'n', 'f'),5
('b', 'v', 'n'),5
('n', 's', 'a'),5
('p', 'n', 'v'),5
('n', 'd', 'l'),5
('d', 'n', 'ns'),5
('v', 'ng', 'n'),5
('f', 'm', 'a'),5
('ad', 'n', 'n'),5
('v', 'c', 'v'),5
('m', 'n', 'ad'),5
('t', 'b', 'n'),5
('ng', 'a', 'n'),5
('v', 'd', 'd'),5
('m', 'm', 'v'),5
('n', 'f', 'q'),5
('m', 't', 'v'),5
('n', 'vn', 'nr'),5
('d', 'r', 'v'),5
('f', 'm', 'n'),5
('d', 'q', 'v'),5
('n', 'm', 'f'),5
('f', 'v', 'd'),5
('t', 'a', 'nr'),5
('d', 'd', 'n'),5
('ns', 'v', 'nr'),5
('ns', 'ng', 'n'),5
('v', 'ng', 'v'),5
('n', 'ns', 'a'),4
('v', 'a', 'q'),4
('q', 'n', 'f'),4
('s', 'n', 'd'),4
('m', 'b', 'n'),4
('a', 'n', 'vn'),4
('d', 'ns', 'v'),4
('i', 'v', 'v'),4
('v', 'n', 'mq'),4
('r', 's', 'v'),4
('t', 'm', 'n'),4
('v', 'a', 'b'),4
('a', 'b', 'n'),4
('n', 'c', 'm'),4
('s', 'n', 'm'),4
('v', 'd', 'nr'),4
('m', 'n', 'ns'),4
('v', 'd', 't'),4
('ns', 'v', 'd'),4
('n', 'ng', 'f'),4
('nr', 'r', 'v'),4
('d', 'vn', 'n'),4
('vn', 'ns', 'n'),4
('t', 'nr', 'd'),4
('s', 'v', 'd'),4
('m', 'n', 's'),4
('v', 'v', 'mq'),4
('nr', 'n', 'm'),4
('nr', 'n', 'l'),4
('v', 'nr', 'vn'),4
('a', 'q', 'v'),4
('nz', 'v', 'v'),4
('s', 'n', 's'),4
('s', 'nr', 's'),4
('nr', 's', 'n'),4
('v', 'b', 'v'),4
