('v', 'a', 'm'),60
('v', 'i', 'n'),60
('ns', 'v', 'ns'),59
('v', 'm', 't'),59
('i', 'v', 'v'),58
('nr', 'd', 'n'),58
('n', 'f', 'nr'),58
('m', 'v', 'd'),58
('d', 'n', 'f'),57
('nr', 'n', 'a'),57
('nr', 'a', 'n'),57
('i', 'n', 'n'),57
('n', 'f', 'a'),56
('n', 'v', 'nrt'),56
('ns', 'd', 'v'),55
('nr', 's', 'v'),55
('m', 'nr', 'v'),55
('v', 'c', 'n'),55
('v', 'i', 'v'),55
('a', 'd', 'n'),55
('f', 'v', 'a'),54
('l', 'd', 'v'),54
('m', 'm', 'm'),54
('s', 'd', 'v'),54
('n', 'n', 'z'),53
('a', 'v', 'd'),53
('n', 'nr', 'a'),53
('v', 'n', 'q'),53
('v', 'ns', 'ns'),53
('n', 'z', 'v'),52
('d', 'm', 'v'),52
('i', 'n', 'v'),52
('q', 'v', 'n'),52
('v', 't', 'd'),52
('v', 'nr', 'm'),52
('d', 'n', 'nr'),52
('f', 'v', 'd'),52
('n', 'i', 'n'),51
('ns', 'n', 'd'),51
('nr', 'nr', 'n'),51
('m', 'n', 't'),51
('nr', 'm', 'v'),51
('n', 'z', 'n'),50
('n', 'nr', 'm'),50
('d', 'nr', 'v'),50
('n', 'm', 'a'),50
('t', 'nr', 'v'),50
('v', 'n', 'vn'),50
('n', 'm', 'nr'),50
('v', 'f', 'm'),50
('nrt', 'v', 'n'),50
('f', 'v', 'nr'),49
('v', 'nr', 'a'),49
('i', 'v', 'n'),49
('n', 'q', 'n'),49
('b', 'n', 'v'),48
('v', 'vn', 'n'),48
('v', 'v', 'i'),48
('v', 'n', 'z'),47
('a', 'n', 't'),47
('d', 'nr', 'n'),47
('n', 'b', 'n'),47
('m', 'f', 'v'),47
('n', 'v', 'vn'),46
('v', 't', 'nr'),46
('vn', 'v', 'v'),46
('a', 'm', 'v'),46
('m', 'v', 'nr'),46
('n', 'n', 'i'),45
('d', 'n', 'a'),45
('vn', 'n', 'v'),45
('m', 't', 'v'),45
('f', 'n', 'd'),45
('v', 'nrt', 'v'),45
('v', 'b', 'n'),44
('v', 'z', 'v'),44
('vn', 'n', 'n'),44
('a', 'v', 'nr'),43
('f', 'nr', 'v'),43
('v', 'n', 'ng'),43
('v', 'vn', 'v'),43
('nr', 't', 'v'),43
('m', 'v', 'a'),43
('n', 'n', 'q'),43
('m', 'f', 'n'),43
('t', 'v', 'd'),42
('t', 'n', 'd'),42
('s', 'v', 'nr'),42
('nr', 'a', 'v'),42
('n', 'd', 'l'),42
('ng', 'v', 'n'),42
('n', 'ng', 'v'),42
('v', 'm', 'f'),42
('n', 'vn', 'v'),41
('b', 'n', 'n'),41
('m', 'd', 'n'),41
('v', 'v', 'q'),41
('v', 'q', 'v'),41
('v', 'nr', 's'),41
('n', 'd', 'nr'),41
('f', 'a', 'n'),41
('v', 's', 'd'),41
('v', 'nr', 'f'),41
('f', 'v', 'f'),41
('n', 'i', 'v'),41
('n', 't', 'nr'),40
('v', 'd', 'nr'),40
('t', 'n', 'a'),40
('n', 'v', 'z'),40
('z', 'n', 'n'),40
('n', 'n', 'vn'),40
('d', 'n', 'm'),40
('v', 'd', 'l'),40
('d', 'a', 'd'),40
('n', 'q', 'v'),39
('v', 'nz', 'n'),39
('t', 'm', 'n'),38
('nr', 'v', 'ns'),38
('nr', 'v', 's'),38
('nr', 'n', 'm'),38
('n', 'd', 't'),38
('t', 'a', 'n'),38
('f', 'd', 'n'),38
('v', 'nrt', 'n'),38
('n', 'nrt', 'v'),38
('d', 'l', 'ns'),38
('v', 't', 'm'),37
('v', 'ns', 'd'),37
('m', 'a', 'v'),37
('ns', 'n', 'ns'),37
('z', 'n', 'v'),36
('f', 'nr', 'n'),36
('v', 'nr', 't'),36
('t', 'v', 'm'),36
('m', 'n', 's'),36
('t', 'v', 'nr'),36
('t', 'n', 'f'),36
('n', 'ad', 'v'),36
('n', 'ng', 'n'),36
('n', 'nrt', 'n'),36
('ns', 'ns', 'n'),36
('v', 'n', 'nrt'),36
('v', 's', 'nr'),35
('nr', 'f', 'v'),35
('a', 's', 'v'),35
('n', 'l', 'nr'),35
('s', 'v', 'a'),35
('n', 't', 'm'),35
('ad', 'v', 'n'),34
('d', 't', 'v'),34
('n', 'l', 'd'),34
('s', 'v', 'd'),34
('nr', 'n', 's'),34
('d', 'v', 'f'),34
('n', 'm', 'd'),34
('n', 'n', 'b'),34
('v', 'l', 'd'),34
('d', 'v', 'r'),33
('s', 'n', 'f'),33
('vn', 'v', 'n'),33
('v', 'a', 'ns'),33
('t', 'm', 'v'),33
('ns', 'v', 'm'),33
('n', 'd', 'ns'),32
('ns', 'm', 'n'),32
('ns', 'n', 'f'),32
('v', 'd', 't'),32
('a', 'ns', 'v'),32
('n', 'r', 'a'),32
('f', 'n', 'a'),32
('n', 'f', 'ns'),32
('z', 'v', 'v'),32
('a', 'n', 's'),32
('f', 'm', 'v'),32
('n', 't', 'd'),32
('n', 'm', 'f'),32
('t', 'v', 'a'),32
('s', 'n', 'd'),31
('m', 'a', 'm'),31
('v', 'z', 'n'),31
('v', 't', 't'),31
('v', 'n', 'b'),31
('f', 'n', 'm'),31
('l', 'v', 'm'),31
('m', 't', 'n'),31
('v', 'v', 'vn'),31
('t', 'v', 't'),31
('n', 'v', 'nz'),31
('d', 'ns', 'n'),31
('ns', 'n', 'nr'),31
